,AccLocation,NatureAccident,ClassificationOfAccident,Causes,RoadFeature,RoadCondition,IntersectionTypeControl,WeatherCondition,VehicleResponsible,Fatal,Grevious,Minor,Injured,NumAnimalsKilled,Remarks,AccYear,AccMonth,AccDay,Encoded_HelpProvidedByPoliceAmbulance,TimeOfAccNumeric,Encoded_AccidentTimeMorningEvening,Encoded_VehicleResponsible
0,Ch. 69+5006,2,2,2,2,1,9,1,One Diesel Truck collapsed,0,2,1,0,0,,2015,9,6,2,09:00,0,45
1,72+500,7,1,2,2,3,9,1,Lorry & Scorpio,2,0,0,0,0,,2014,9,5,0,07:18,0,34
2,20+250 LHS,4,-,3,3,1,9,1,LCV (KA02 AD 4041) HIT CAR (KA 19 Z 8477),0,0,0,0,0,NO PROPERTY DAMAGES. INFORMED KEY PERSONS.,2014,9,10,2,08:50,0,27
3,,1,2,2,1,3,9,1,Lorry Truck,0,1,1,0,0,,2015,8,9,2,05:00,0,36
4,126.800 KM RHS,2,2,2,4,4,9,1,Car,0,2,1,1,0,A car upside due to over speed,2015,8,4,2,08:23,0,17
5,126.800 KM RHS,2,3,2,4,4,9,1,Car,0,2,1,1,0,A car upside due to over speed,2015,8,4,2,08:23,0,17
6,126.800 KM RHS,2,4,2,4,4,9,1,Car,0,2,1,1,0,A car upside due to over speed,2015,8,4,2,08:23,0,17
7,160.110 KM RHS,2,3,2,4,4,9,1,Car,0,0,1,0,0,accident due to over speed,2015,7,4,2,08:30,0,17
8,115.600 KM RHS,2,3,2,4,4,9,1,Tractor & BIKE,0,0,1,3,0,Tractor & bike accident due to bike parson drink & drive,2015,7,4,2,08:30,0,55
9,115.600 KM RHS,2,4,2,4,4,9,1,Tractor & BIKE,0,0,1,3,0,Tractor & bike accident due to bike parson drink & drive,2015,7,4,2,08:30,0,55
10,Km.84+300,2,3,2,2,3,9,3,Sumo and Lorry Truck,0,0,2,4,0,Nil,2015,7,2,1,05:10,0,49
11,26+200 RHS,3,-,3,3,1,9,1,BUS(KA 05 AB 0025) HIT CAR(KA 53 MA 6291),0,0,0,0,0,INFORMED POLICE AND KEY PERSONS.,2014,7,10,2,06:50,0,4
12,172.200 KM LHS,2,2,2,4,4,9,1,Tractor & Bike,0,1,0,0,0,Vehicle met accident due to over speed,2015,6,4,2,08:30,0,56
13,18+700 LHS,2,-,1,3,1,9,1,LCV(KA 18 B 5864) HIT UNKNOWN BUS,0,0,0,0,0,NO PROPERTY DAMAGES. INFORMED KEY PERSONS.,2014,6,10,1,08:10,1,29
14,80+000,7,3,3,2,1,3,1,Lorry RJ19 GA2487 vs Pedestrian,0,0,1,0,0,,2014,5,6,2,01:25,1,35
15,162.800 KM LHS,2,2,2,4,4,9,1,Car,0,0,1,0,0,Vehicle breakdown due to over speed,2015,5,4,2,08:30,0,17
16,162.800 KMlhs,2,3,2,4,4,9,1,Car & Truck,0,0,1,0,0,Vehicle met accident due to mechanical problem,2015,5,4,2,08:30,0,22
17,km96+100LHS,2,3,2,1,1,9,1,Two Long Trucks,0,3,2,5,0,,2015,5,3,2,05:10,0,58
18,91+800 LHS,2,1,3,2,1,1,1,Motor Cycle,1,2,1,0,0,Nil,2014,5,12,0,09:00,0,44
19,Ch.135+025,2,2,2,2,1,9,1,One truck and motor byke,1,1,0,0,0,,2015,4,6,0,05:00,1,46
20,60+200RHS,1,1,4,2,4,9,1,Two Wheeler & Lorry,2,2,0,0,0,,2014,4,5,0,05:15,0,62
21,164.850 KMLHS,1,3,2,4,4,9,1,Car & Auto,0,0,2,0,0,Vehicle met accident due to over speed,2015,4,4,2,08:30,0,18
22,14+835 LHS,7,2,5,3,1,9,1,LCV(KA 01 AA 1583) HIT KSRTC BUS(KA 19 F 2831) PASSENGER,0,1,0,0,0,"INJURED PERSON SHIFTED TO HARSH HOSPITAL, NO PROPERTY DAMAGES, INFORMED POLICE & KEY PERSONS",2014,9,30,1,10:30,1,28
23,27+800,1,3,2,3,1,9,1,TRACTOR (KA 05 M 7163) HIT BIKE (KA 04 ES 9873),0,0,1,0,0,"INJURED PERSON SHIFTED TO MATHRUSHREE HOSPITAL, VEH HANDED OVER TO POLICE AND INFORMED KEY PERSONS.",2014,9,30,1,04:25,1,50
24,92+000 (LHS),1,1,3,2,1,1,1,Tipper,0,0,0,0,1,,2014,11,30,2,08:00,0,53
25,126.800 KM LHS,2,2,2,4,4,9,1,Car & Bike,0,1,0,2,0,Car & Bike accident due to over speed car,2015,3,29,2,04:30,1,19
26,126.800 KM LHS,2,4,2,4,4,9,1,Car & Bike,0,1,0,2,0,Car & Bike accident due to over speed car,2015,3,29,2,04:30,1,19
27,24+650 RHS,3,2,5,2,1,9,1,CAR(KA.04.MK.5817) HIT TO UNKNOWN VEHICLE,0,2,0,0,0,INJURED PERSONS SHIFTED TO UNKNOWN HSPTL BY 108 AMB NO PROPERTY DAMAGES INFORMED TO ALL KEY PERSONS & POLICE,2014,9,28,2,09:05,1,16
28,28/400 (LHS),3,4,2,3,1,3,1,Scorpio and Lorry,0,0,0,0,0,,2014,7,28,1,10:35,1,48
29,117+500,7,1,3,2,1,9,1,Tempo Traveller & Alto car,5,0,0,0,0,,2014,5,28,1,04:13,0,52
30,109.000 KM RHS,2,2,2,4,4,9,1,LCV,0,2,1,2,0,LCV upside due to tyre bust,2015,3,28,2,04:39,1,25
31,109.000 KM RHS,2,3,2,4,4,9,1,LCV,0,2,1,2,0,LCV upside due to tyre bust,2015,3,28,2,04:39,1,25
32,109.000 KM RHS,2,4,2,4,4,9,1,LCV,0,2,1,2,0,LCV upside due to tyre bust,2015,3,28,2,04:39,1,25
33,16+700 RHS,6,3,3,3,1,9,1,BIKE (KA 04 HR 9383) SKID,0,0,0,0,0,INJURY PERSON SHIFTED TO PREMIER SANJEEVINI HOSPITAL . INFORMED TO POLICE & ALL KEY PERSONS.,2014,9,27,1,11:35,0,0
34,24+675 LHS,1,3,3,3,1,9,1,BIKE (KA 05 JC 8762) HIT TO TRUCK (KA 11 4084),0,0,1,0,0,NJURED PERSON SHIFTED TO HARSHA HOSPITAL & INFORM POLICE & KEY PERSONS.,2014,9,26,1,02:50,1,1
35,19+350 RHS,7,1,3,3,1,9,1,UNKNOWN VEHICLE HIT ROAD CROSSING PERSON,1,0,0,0,0,1 FATAL SHIFTED TO GOVT HOSPITAL NELAMANGALA. INFORMED TO POLICE & ALL KEY PERSONS.,2014,9,26,1,03:50,0,67
36,13/121 (LHS),3,4,4,3,2,9,1,Tipper Lorry & Two Wheeler,0,0,0,0,1,,2014,7,26,2,01:00,1,54
37,23/400 (RHS),4,4,4,3,1,9,1,Mahindra Pickup and Innova Car,0,0,0,0,0,,2014,7,26,1,04:45,1,39
38,149.200 KM LHS,2,3,2,4,4,9,1,Car,0,0,1,0,0,Vehicle met accident due to over speed,2015,3,26,2,08:30,0,17
39,180.900 KM LHS,2,1,2,4,4,9,1,Bike & Truck,1,0,0,0,0,Vehicle met accident due to over speed,2015,3,24,2,12:00,0,7
40,173.200 KM RHS,2,-,2,4,4,9,1,Car,0,0,0,0,0,Vehicle met accident due to over speed,2015,3,23,2,04:30,1,17
41,131+600,7,2,-,2,3,9,1,Santro Car,0,2,0,0,0,,2014,9,21,0,06:05,1,47
42,132.600 KM LHS,2,2,2,4,4,9,1,Bike,0,2,0,0,0,Bike accident due to hit to buffalo,2015,3,21,2,12:00,0,5
43,122.050 KM LHS,2,4,2,4,4,9,1,Car,0,0,0,2,0,A car upside due to over speed,2015,3,21,2,12:00,0,17
44,117+000,2,1,4,2,1,2,1,Matador 407,3,0,1,0,0,Nil,2014,12,21,0,10:00,1,41
45,,1,3,3,2,3,9,1,Lorry,0,0,2,0,0,,2014,9,20,0,09:00,1,32
46,157.800 KM LHS,2,2,2,4,4,9,1,Bike & Bike,0,2,0,0,0,Vehicle met accident due to over speed,2015,3,20,2,04:30,1,6
47,128+000,2,1,3,2,1,9,1,Lorry truck and byke,1,1,1,0,0,,2015,10,20,2,05:00,0,38
48,90+250,1,-,2,2,1,3,1,Lorry,0,0,0,0,0,Non Injured,2014,2,8,2,08:25,0,32
49,157.400 KM RHS,2,2,2,4,4,9,1,Car & Bike,0,2,0,0,0,Vehicle met accident due to over speed,2015,2,4,2,04:30,1,19
50,20+700 RHS,1,1,7,3,1,9,1,BIKE(KA.06.EC.6082) HIT ROAD CROSSING PERSON,1,0,0,0,0,INJURED PERSONS SHIFTED TO NEL.GOVT.HSPTL NO PROPERTY DAMAGES INFORMED POLICE & ALL KEY PERSONS,2014,2,10,1,08:15,1,3
51,91+800,7,2,2,2,1,9,1,Two Wheeler,0,2,0,0,0,,2014,5,19,1,08:06,1,60
52,162.800 KM RHS,2,3,2,4,4,9,1,Car,0,0,1,0,0,Vehicle met accident due to over speed,2015,3,19,2,08:30,0,17
53,138.250 KM RHS,2,2,2,4,4,9,1,Car & Bike,0,2,0,2,0,CJV & BIKE Accident duet bike cross the road,2015,3,19,2,08:30,0,19
54,138.250 KM RHS,2,4,2,4,4,9,1,Car & Bike,0,2,0,2,0,CJV & BIKE Accident duet bike cross the road,2015,3,19,2,08:30,0,19
55,121.700 KM LHS,2,4,2,4,4,9,1,Car & MAV,0,0,0,3,0,MAV & CJV Accident due to CJV over speed,2015,3,19,2,08:30,0,21
56,18+800 LHS,3,-,2,3,1,9,1,CAR (KA 06 N 3831) HIT CAR (KA 02 MJ 0727),0,0,0,0,0,NO NBTPL PROPERTY DAMAGES. VEH HANDED OVER TO POLICE & INFORMED KEY PERSONS.,2014,10,19,2,02:10,1,14
57,23+000 LHS S/R,4,3,2,2,1,9,1,CAR (KA 03 D 4080) HIT PL-4 ENTRANCE DIVIDER,0,0,2,0,0,"2 MAJOR INJURIES, SHIFTED TO HARSHA HOSPITAL. HANDED OVER TO POLICE & KEY PERSONS.",2014,10,18,1,09:00,1,10
58,18+800 LHS,4,-,3,3,1,9,1,LCV(KA 52 6279) HIT CAR(KA 01 ML 4151),0,0,0,0,0,NO NBTPL PROPERTY DAMAGES. VEH HANDED OVER TO POLICE & INFORMED KEY PERSONS.,2014,10,18,1,11:30,1,30
59,Ch.132+700,2,2,4,2,2,9,1,Two Trucks,0,0,1,0,0,,2015,7,17,2,05:00,1,59
60,104+500,7,1,2,2,3,9,1,Two Wheeler & Car,1,0,0,0,0,,2014,5,16,0,09:08,1,61
61,148.200 KM RHS,2,3,2,4,4,9,1,Bike,0,0,1,0,0,Vehicle met accident due to over speed,2015,4,16,2,12:00,0,5
62,18+700 LHS,7,2,2,3,1,9,1,UNKNOWN VEHICLE HIT CAR(KA 25 N 4547),0,0,0,0,0,NO NBTPL PROPERTY DAMAGES. INFORMED KEY PERSONS.,2014,10,16,1,11:00,1,66
63,126+900,2,1,-,2,2,3,1,Lorry & Car,2,0,0,0,0,,2014,9,15,0,10:20,1,33
64,Km.89+500,2,3,2,2,1,9,1,Motor Byke & Lorry,0,1,2,5,0,nil,2015,2,15,1,02:30,1,43
65,125+000,2,1,2,2,1,9,1,Lorry truck and byke,2,1,1,0,0,,2015,10,15,2,09:00,0,38
66,17+150 LHS,5,4,7,3,1,9,1,UNKNOWN VEH HIT YO PEDESTRIAN,0,0,0,0,0,NO PROPERTY DAMAGE PATIENT SHIFTED TO HARSHA HOSPITAL,2014,10,15,0,08:20,1,65
67,14+550 LHS,4,2,4,3,1,9,1,CAR (KA 51 MC 6413) HIT BIKE (KA 02 HX 3572),0,1,1,0,0,INFORMED POLICE & KEY PERSONS,2014,10,15,1,09:20,0,15
68,86+000,7,1,2,1,3,9,1,Maruthi car hitting electrical pole and caught fire,2,1,1,0,0,,2015,8,14,2,09:00,0,40
69,86+000,1,1,2,2,3,9,1,Lorry truck,0,1,1,0,0,,2015,8,14,2,05:00,0,37
70,164.200 KM LHS,2,3,2,4,4,9,1,Bike`,0,0,1,0,0,Vehicle met accident due to over speed,2015,4,14,2,04:30,1,8
71,Km.85+400 RHS,2,2,2,1,3,9,1,Mini Lorry Truck and TVS Motor Byke.,0,2,0,5,0,Nil,2015,3,14,2,02:30,1,42
72,13+500 LHS,2,2,2,3,1,9,1,UNKNOWN BIKE HIT TO MEDIEAN,0,1,0,0,0,INFORMED POLICE & KEY PERSONS,2014,10,13,0,11:35,1,64
73,"162.050KM,OTH,LHS",7,1,4,4,4,9,1,Bus(Bus),8,10,5,0,0,,2018,1,13,1,01:50,0,9
74,147.700 KM RHS,2,1,2,4,4,9,1,Car & Car,1,5,0,0,0,Vehicle met accident due to over speed,2015,12,4,2,08:30,0,20
75,147.700 KM RHS,2,2,2,4,4,9,1,Car & Car,1,5,0,0,0,Vehicle met accident due to over speed,2015,12,4,2,08:30,0,20
