Date,TimeOfAcc,AccLocation,NatureAccident,ClassificationOfAccident,Causes,RoadFeature,RoadCondition,IntersectionTypeControl,WeatherCondition,VehicleResponsible,Fatal,Grevious,Minor,Injured,NumAnimalsKilled,HelpAmbulancePatrol,Remarks
9/6/2015,09:00 AM,Ch. 69+5006,2,2,2,2,1,9,1,One Diesel Truck collapsed,0,2,1,0,0,Petrol Vehicle,
9/5/2014,07:18 AM,72+500,7,1,2,2,3,9,1,Lorry & Scorpio,2,0,0,0,0,Ambulance,
9/10/2014,08:50 AM,20+250 LHS,4,-,3,3,1,9,1,LCV (KA02 AD 4041) HIT CAR (KA 19 Z 8477),0,0,0,0,0,Petrol Vehicle,NO PROPERTY DAMAGES. INFORMED KEY PERSONS.
8/9/2015,05:00 AM,,1,2,2,1,3,9,1,Lorry Truck,0,1,1,0,0,Petrol Vehicle,
8/4/2015,08:23 AM,126.800 KM RHS,2,2,2,4,4,9,1,Car,0,2,1,1,0,Petrol Vehicle,A car upside due to over speed
8/4/2015,08:23 AM,126.800 KM RHS,2,3,2,4,4,9,1,Car,0,2,1,1,0,Petrol Vehicle,A car upside due to over speed
8/4/2015,08:23 AM,126.800 KM RHS,2,4,2,4,4,9,1,Car,0,2,1,1,0,Petrol Vehicle,A car upside due to over speed
7/4/2015,08:30 AM,160.110 KM RHS,2,3,2,4,4,9,1,Car,0,0,1,0,0,Petrol Vehicle,accident due to over speed
7/4/2015,08:30 AM,115.600 KM RHS,2,3,2,4,4,9,1,Tractor & BIKE,0,0,1,3,0,Petrol Vehicle,Tractor & bike accident due to bike parson drink & drive
7/4/2015,08:30 AM,115.600 KM RHS,2,4,2,4,4,9,1,Tractor & BIKE,0,0,1,3,0,Petrol Vehicle,Tractor & bike accident due to bike parson drink & drive
7/2/2015,05:10 AM,Km.84+300,2,3,2,2,3,9,3,Sumo and Lorry Truck,0,0,2,4,0,Ambulance/Petrol Vehicle,Nil
7/10/2014,06:50 AM,26+200 RHS,3,-,3,3,1,9,1,BUS(KA 05 AB 0025) HIT CAR(KA 53 MA 6291),0,0,0,0,0,Petrol Vehicle,INFORMED POLICE AND KEY PERSONS.
6/4/2015,08:30 AM,172.200 KM LHS,2,2,2,4,4,9,1,Tractor & Bike,0,1,0,0,0,Petrol Vehicle,Vehicle met accident due to over speed
6/10/2014,08:10 PM,18+700 LHS,2,-,1,3,1,9,1,LCV(KA 18 B 5864) HIT UNKNOWN BUS,0,0,0,0,0,Ambulance/Petrol Vehicle,NO PROPERTY DAMAGES. INFORMED KEY PERSONS.
5/6/2014,01:25 PM,80+000,7,3,3,2,1,3,1,Lorry RJ19 GA2487 vs Pedestrian,0,0,1,0,0,Petrol Vehicle,
5/4/2015,08:30 AM,162.800 KM LHS,2,2,2,4,4,9,1,Car,0,0,1,0,0,Petrol Vehicle,Vehicle breakdown due to over speed
5/4/2015,08:30 AM,162.800 KMlhs,2,3,2,4,4,9,1,Car & Truck,0,0,1,0,0,Petrol Vehicle,Vehicle met accident due to mechanical problem
